problem_idx,generation_accuracy,selection_accuracy,selection_precision,selection_recall,selection_f1,selection_tp,selection_tn,selection_fp,selection_fn,feature_thresholds,insufficient_data
0,0.828,1,1.0,1.0,1.0,1,0,0,0,"{'internlm_scores': np.float64(0.6528140306472778), 'gpm_scores': np.float64(0.6046687960624695), 'offset_bias_scores': np.float64(0.7911676466464996), 'qrm_scores': np.float64(0.6938392966985703), 'urm_scores': np.float64(0.5552390217781067), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5), 'grm_llama32_scores': np.float64(0.7168194204568863), 'judge_gpt-4o_verdicts': np.float64(0.5), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'skyworks_scores': np.float64(0.7588696479797363), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts': np.float64(0.5), 'grm_scores': np.float64(0.6874687671661377), 'grm_gemma_scores': np.float64(0.6625510156154633), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5)}",False
1,0.944,1,1.0,1.0,1.0,1,0,0,0,"{'internlm_scores': np.float64(0.48625412583351135), 'grm_scores': np.float64(0.7318230271339417), 'qrm_scores': np.float64(0.7419665157794952), 'offset_bias_scores': np.float64(0.6984206587076187), 'grm_llama32_scores': np.float64(0.7341974079608917), 'urm_scores': np.float64(0.6421816647052765), 'gpm_scores': np.float64(0.6070564091205597), 'skyworks_scores': np.float64(0.7546816468238831), 'grm_gemma_scores': np.float64(0.6593273282051086), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'judge_gpt-4o_verdicts': np.float64(0.5), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5)}",False
2,0.972,1,1.0,1.0,1.0,1,0,0,0,"{'internlm_scores': np.float64(0.5294884145259857), 'grm_scores': np.float64(0.6111705005168915), 'offset_bias_scores': np.float64(0.8130423724651337), 'qrm_scores': np.float64(0.8648397326469421), 'grm_gemma_scores': np.float64(0.790105402469635), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'gpm_scores': np.float64(0.6519190669059753), 'grm_llama32_scores': np.float64(0.7487949281930923), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5), 'urm_scores': np.float64(0.8614315241575241), 'skyworks_scores': np.float64(0.6707957983016968), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5), 'judge_gpt-4o_verdicts': np.float64(0.5), 'judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts': np.float64(0.5)}",False
3,1.0,1,1.0,1.0,1.0,1,0,0,0,"{'internlm_scores': np.float64(0.45321235060691833), 'grm_scores': np.float64(0.32909271866083145), 'judge_gpt-4o_verdicts': np.float64(0.5), 'qrm_scores': np.float64(0.5634436756372452), 'offset_bias_scores': np.float64(0.5592830777168274), 'grm_llama32_scores': np.float64(0.4814210459589958), 'skyworks_scores': np.float64(0.49462366104125977), 'grm_gemma_scores': np.float64(0.6333841979503632), 'urm_scores': np.float64(0.44748061895370483), 'gpm_scores': np.float64(0.4106922149658203), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5)}",False
4,0.928,1,1.0,1.0,1.0,1,0,0,0,"{'qrm_scores': np.float64(0.750555545091629), 'internlm_scores': np.float64(0.5459129959344864), 'offset_bias_scores': np.float64(0.7603577077388763), 'urm_scores': np.float64(0.7053343653678894), 'judge_gpt-4o_verdicts': np.float64(0.5), 'gpm_scores': np.float64(0.46576227247714996), 'skyworks_scores': np.float64(0.7173387110233307), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5), 'grm_scores': np.float64(0.6188909709453583), 'grm_gemma_scores': np.float64(0.7877135574817657), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'grm_llama32_scores': np.float64(0.6820130348205566), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5), 'judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts': np.float64(0.5)}",False
5,0.872,1,1.0,1.0,1.0,1,0,0,0,"{'internlm_scores': np.float64(0.6840362250804901), 'grm_scores': np.float64(0.6959607005119324), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'grm_gemma_scores': np.float64(0.727523535490036), 'skyworks_scores': np.float64(0.7894088625907898), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'grm_llama32_scores': np.float64(0.7036922872066498), 'qrm_scores': np.float64(0.8390454053878784), 'urm_scores': np.float64(0.717588484287262), 'gpm_scores': np.float64(0.5680608451366425), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'judge_gpt-4o_verdicts': np.float64(0.5), 'offset_bias_scores': np.float64(0.759870171546936), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5), 'judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts': np.float64(0.5)}",False
6,0.884,1,1.0,1.0,1.0,1,0,0,0,"{'internlm_scores': np.float64(0.4537348821759224), 'skyworks_scores': np.float64(0.7657004743814468), 'qrm_scores': np.float64(0.8084745705127716), 'gpm_scores': np.float64(0.5597412586212158), 'grm_llama32_scores': np.float64(0.7887689471244812), 'grm_scores': np.float64(0.7233244180679321), 'judge_gpt-4o_verdicts': np.float64(0.5), 'grm_gemma_scores': np.float64(0.8500521034002304), 'urm_scores': np.float64(0.7374560832977295), 'offset_bias_scores': np.float64(0.8392596244812012), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5), 'judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts': np.float64(0.5), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5)}",False
7,0.9,1,1.0,1.0,1.0,1,0,0,0,"{'internlm_scores': np.float64(0.6735844016075134), 'grm_scores': np.float64(0.6742751151323318), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'skyworks_scores': np.float64(0.7760988920927048), 'grm_llama32_scores': np.float64(0.7464500069618225), 'gpm_scores': np.float64(0.5608772337436676), 'urm_scores': np.float64(0.7560950517654419), 'offset_bias_scores': np.float64(0.8077088296413422), 'grm_gemma_scores': np.float64(0.7065150886774063), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5), 'judge_gpt-4o_verdicts': np.float64(0.5), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5), 'qrm_scores': np.float64(0.8394256383180618), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5), 'judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts': np.float64(0.5), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5)}",False
8,1.0,1,1.0,1.0,1.0,1,0,0,0,"{'internlm_scores': np.float64(0.9372469782829285), 'offset_bias_scores': np.float64(0.7267633080482483), 'grm_gemma_scores': np.float64(0.6825340390205383), 'grm_scores': np.float64(0.6274827122688293), 'qrm_scores': np.float64(0.7473251223564148), 'urm_scores': np.float64(0.8370015919208527), 'skyworks_scores': np.float64(0.6240846216678619), 'grm_llama32_scores': np.float64(0.6132921278476715), 'gpm_scores': np.float64(0.37896551191806793), 'judge_llama-3.1-nemotron-70b-instruct-hf_verdicts': np.float64(0.5)}",False
9,0.744,1,1.0,1.0,1.0,1,0,0,0,"{'qrm_scores': np.float64(0.727417528629303), 'grm_scores': np.float64(0.6354201436042786), 'offset_bias_scores': np.float64(0.8018032312393188), 'internlm_scores': np.float64(0.481013186275959), 'urm_scores': np.float64(0.641106128692627), 'judge_llama-3.3-70b-instruct-turbo_verdicts': np.float64(0.5), 'skyworks_scores': np.float64(0.7318548560142517), 'grm_llama32_scores': np.float64(0.6953480839729309), 'judge_gpt-4o_verdicts': np.float64(0.5), 'gpm_scores': np.float64(0.5707612633705139), 'grm_gemma_scores': np.float64(0.7283424884080887), 'judge_gemma-2-27b-it_verdicts': np.float64(0.5), 'judge_claude-3-5-sonnet-latest_verdicts': np.float64(0.5), 'judge_qwen2.5-72b-instruct-turbo_verdicts': np.float64(0.5), 'judge_qwen2-72b-instruct_verdicts': np.float64(0.5), 'judge_meta-llama-3.1-405b-instruct-turbo_verdicts': np.float64(0.5), 'judge_nous-hermes-2-mixtral-8x7b-dpo_verdicts': np.float64(0.5)}",False
